Stock_symbol,Date,Headlines,Headline_count
AAPL,2020-04-15,"['Software Rises Above Semiconductors And Hardware As Tech Heads Into Earnings Season', ""US Senator Blumenthal Says Apple, Google Have A 'Lot Of Work To Do' To Convince People Coronavirus Contact Tracing Will Not Violate Privacy"", ""Apple Ready To Launch 'iPhone 9'; Analyst Says Initial Sales Could Reach 25M Units"", ""Every Member Of Trump's 'Great American Economic Revival' Industry Groups"", ""BioXcel Therapeutics CEO Says Wearable Devices Are Another Tool To Combat Alzheimer's Agitation"", 'Apple Shares Unaffected Following Co. Press Release Highlighting Second-Generation iPhone SE, Starting At $399']",6
AAPL,2020-04-16,"[""Big Stocks Moving After Hours As Market Cheers Gilead, 'Reopening' Updates"", 'S&P 500 Futures Up 3.2% After Hours; Many Other Stocks Moving Higher With Futures; Investors Reacting Favorably To White Phase Guidelines On Reopening Economy', ""Apple's Tim Cook Tells Staff Mgmt. Is Unclear When Employees Will Be Able To Return To Offices, Says Offices Will Likely Have Temperature Checks, Social Distancing Efforts"", ""Comcast's Peacock Takes Well-Timed Flight"", 'Apple shares are trading higher after Deutsche Bank maintained its Buy rating on the stock and raised its price target from $270 to $285 per share.', 'Deutsche Bank Maintains Buy on Apple, Raises Price Target to $285', 'Morgan Stanley Misses On EPS, But Shows Strong Trading Results For Q1 As Banks Wrap Up', ""'Apple's only retail store in South Korea reopening April 18' -9to5Mac""]",8
AAPL,2020-04-17,"[""Gene Munster Dismisses Goldman's Apple Downgrade, Says Cupertino Has Long-Term Earnings Power"", 'Goldman Turns Bearish On Apple, Qualcomm, Projects 36% Drop In Q2 iPhone Sales', 'Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting', ""'Apple supplier Foxconn steps up semiconductor plans with deal to build a new base in Qingdao' -South China Morning Post"", ""Benzinga's Top Upgrades, Downgrades For April 17, 2020"", ""UPDATE: Goldman Sachs Downgrades Apple To Sell, Lowers Target To $233 'as COVID-19 downturn drives reduced 2021 forecasts'"", '10 Biggest Price Target Changes For Friday', 'A Peek Into The Markets: US Stock Futures Signal Higher Start On Wall Street', 'Goldman Sachs Downgrades Apple to Sell, Lowers Price Target to $233', 'Apple Reopening Store In Seoul, First Outside China']",10
AAPL,2020-04-18,"[""'Options Action' Traders Weigh In On Apple, S&P 500, Crude Oil"", ""Smart Option Trading CEO On Gaining An Edge With Options: 'They Show The Overall Sentiment'""]",2
AAPL,2020-04-19,"['Bulls And Bears Of The Week: Caterpillar, Facebook, Microsoft And More']",1
AAPL,2020-04-20,"['Jerremy Newsome Shares The Rules For His Options Strategy', 'Coronavirus Sell-Off A Major Opportunity For Activist Investors', 'Halliburton, United, Among Key Names Reporting Results, With More Airlines Due Later In Week']",3
AAPL,2020-04-21,"['How Stable Are Their Networks? AT&T And Verizon Set To Release Q1 Earnings', 'Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.', ""Tuesday's Market Minute: The Streaming Comeback Kid: Netflix"", 'Apple Shares Spike 1.5% Amid Nikkei Report Co. Aiming To Increase iPhone Output By 4% Through Mar.', 'Apple Likely to Defer New Airpods Pro Launch', 'Apple Services Now Available in More Countries Around the World']",6
AAPL,2020-04-22,"['Another Autonomous Trucking Startup Announces Layoffs', 'These Companies Could Rebound Sharply After The COVID-19 Crisis', 'Little Things Count: After Selloff To Start Week, A Bit of Light Arrives With Positive Earnings', 'Gene Munster Sees Apple And Tesla As Biggest Winners This Earnings Season']",4
AAPL,2020-04-23,"[""Apple Analyst Braces For 'Friday The 13th'-Like Q2, Says iPhone On Track"", 'Apple Reportedly Shifting Away From Intel, Will Make Its Own Mac Chips', ""Intel Shares Unaffected Following NY Post Article 'Apple to reportedly use its own chips for Macs instead of Intel's next year'"", '10 Biggest Price Target Changes For Thursday', 'Daiwa Capital Downgrades Apple to Outperform, Lowers Price Target to $297', 'Apple Acknowledges Security Flaw in iPhone, iPads That Hackers May Have Used To Steal Data For Years']",6
AAPL,2020-04-24,"['Nvidia Reportedly Eyeing 5nm Chips Even As Apple, AMD Ramp Up Orders', 'Apple Shares Unaffected As Hearing Trump Says He Spoke With Tim Cook, Trump Says Cook Believes Economy Will See V-Shaped Recovery', '10 Biggest Price Target Changes For Friday', 'Hearing Credit Suisse Asia Sees Apple Cutting iPhone Jul. To Sept. Production By 30% Given A Delay In Production Ramp For 2020 Models', 'Apple Says No Evidence That Hackers Exploited Vulnerability In iPhones, iPads To Steal Data', 'Apple Says No Evidence iPhone Mail Flaw Used Against Customers']",6
