Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-08 00:00:00 UTC,Spotify CEO's Apple Barb Backfires As Sonos Points Out The 'Solid Irony',AAPL,https://www.benzinga.com/news/20/05/15986445/spotify-ceos-apple-barb-backfires-as-sonos-points-out-the-solid-irony,Shivdeep Dhaliwal,,,,,,
2020-05-06 00:00:00 UTC,A Recap Of Social Media Earnings,AAPL,https://www.benzinga.com/news/earnings/20/05/15945240/a-recap-of-social-media-earnings,IAM Newswire,,,,,,
2020-05-06 00:00:00 UTC,'Microsoft is releasing its new AirPods rival after months of delays — and it's even cheaper than expected' -Recent Business Insider Article,AAPL,https://www.benzinga.com/news/20/05/15966741/microsoft-is-releasing-its-new-airpods-rival-after-months-of-delays-and-its-even-cheaper-than-expect,Benzinga Newsdesk,,,,,,
2020-05-06 00:00:00 UTC,Apple Chassis Maker Catcher Said to be Considering Leaving China to Open Factories in SouthEast Asia,AAPL,https://www.benzinga.com/news/20/05/15963983/apple-chassis-maker-catcher-said-to-be-considering-leaving-china-to-open-factories-in-southeast-asia,Charles Gross,,,,,,
2020-05-05 00:00:00 UTC,What Apple's WWDC 2020 Invite Says About This Year's Virtual Presentation,AAPL,https://www.benzinga.com/news/20/05/15958537/what-apples-wwdc-2020-invite-says-about-this-years-virtual-presentation,Tanzeel Akhtar,,,,,,
2020-05-05 00:00:00 UTC,Apple to Host Virtual Worldwide Developers Conference Beginning June 22,AAPL,https://www.benzinga.com/press-releases/20/05/15957266/apple-to-host-virtual-worldwide-developers-conference-beginning-june-22,Benzinga Newsdesk,,,,,,
2020-05-05 00:00:00 UTC,Apple Files Final Pricing Term Sheet For Offering Of $2B 0.750% Notes Due 2023,AAPL,https://www.benzinga.com/news/20/05/15952444/apple-files-final-pricing-term-sheet-for-offering-of-2b-0-750-notes-due-2023,Benzinga Newsdesk,,,,,,
2020-05-04 00:00:00 UTC,Apple And Google Say No To Location Tracking In Coronavirus Contact Tracing Apps,AAPL,https://www.benzinga.com/news/20/05/15951485/apple-and-google-say-no-to-location-tracking-in-coronavirus-contact-tracing-apps,Shivdeep Dhaliwal,,,,,,
2020-05-04 00:00:00 UTC,'Apple raises more than $8 billion in bond offering' -Tweet From CNBC Now,AAPL,https://www.benzinga.com/news/20/05/15949544/apple-raises-more-than-8-billion-in-bond-offering-tweet-from-cnbc-now,Benzinga Newsdesk,,,,,,
2020-05-04 00:00:00 UTC,Apple Grows Smartphone Market Share Even As Overall Market Declines At Record Pace,AAPL,https://www.benzinga.com/news/20/05/15946697/apple-grows-smartphone-market-share-even-as-overall-market-declines-at-record-pace,Shanthi Rexaline,,,,,,
